Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00826573371887207,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.008659124374389648,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.005799293518066406,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.008504152297973633,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.016430139541625977,20.0,0.0,0.0,0.0,0.0002378249540925026,0.0,0.004756499081850052,0.09512998163700104
0.25,0.017714262008666992,20.0,0.0,0.0,0.0,0.0007134748622775078,0.0,0.009512998163700104,0.09512998163700104
0.3,0.0060482025146484375,20.0,0.0,0.0,0.0,0.0014269497245550157,0.0,0.014269497245550156,0.09512998163700104
0.35,0.01418304443359375,20.0,0.0,0.0,0.0,0.002378249540925026,0.0,0.019025996327400208,0.09512998163700104
0.4,0.011359453201293945,20.0,0.0,0.0,0.0,0.003567374311387539,0.0,0.02378249540925026,0.09512998163700104
0.45,0.015692472457885742,20.0,0.0,0.0,0.0,0.004994324035942554,0.0,0.02853899449110031,0.09512998163700104
0.5,0.013853788375854492,20.0,0.0,0.0,0.0,0.0066590987145900725,0.0,0.03329549357295036,0.09512998163700104
0.55,0.015990495681762695,20.0,0.0,0.0,0.0,0.008561698347330093,0.0,0.038051992654800415,0.09512998163700104
0.6,0.01705789566040039,20.0,0.0,0.0,0.0,0.010702122934162617,0.0,0.04280849173665047,0.09512998163700104
0.65,0.055002689361572266,20.0,0.0,0.0,0.0,0.013080372475087643,0.0,0.04756499081850052,0.09512998163700104
0.7,0.020758390426635742,20.0,0.0,0.0,0.0,0.015696446970105173,0.0,0.05232148990035057,0.09512998163700104
0.75,0.014964103698730469,20.0,0.0,0.0,0.0,0.018550346419215203,0.0,0.05707798898220062,0.09512998163700104
0.8,0.015073537826538086,20.0,0.0,0.0,0.0,0.021642070822417737,0.0,0.061834488064050674,0.09512998163700104
0.85,0.01501607894897461,20.0,0.0,0.0,0.0,0.024971620179712772,0.0,0.06659098714590073,0.09512998163700104
0.9,0.016280174255371094,20.0,0.0,0.0,0.0,0.02853899449110031,0.0,0.07134748622775078,0.09512998163700104
0.95,0.01613640785217285,20.0,0.0,0.0,0.0,0.032344193756580354,0.0,0.07610398530960083,0.09512998163700104
1.0,0.015132665634155273,20.0,0.0,0.0,0.0,0.0363872179761529,0.0,0.08086048439145088,0.09512998163700104
1.05,0.01602029800415039,20.0,0.0,0.0,0.0,0.040668067149817945,0.0,0.08561698347330093,0.09512998163700104
1.1,0.019707202911376953,20.0,0.0,0.0,0.0,0.04518674127757549,0.0,0.09037348255515099,0.09512998163700104
1.15,0.014046907424926758,20.0,0.0,0.0,0.0,0.049943240359425545,0.0,0.09512998163700104,0.09512998163700104
1.2,0.013985157012939453,20.0,0.0,0.0,0.0,0.0549375643953681,0.0,0.09988648071885109,0.09512998163700104
1.25,0.01595759391784668,20.0,0.0,0.0,0.0,0.06016971338540316,0.0,0.10464297980070114,0.09512998163700104
1.3,0.01753520965576172,20.0,0.0,0.0,0.0,0.06563968732953072,0.0,0.1093994788825512,0.09512998163700104
1.35,0.013564109802246094,20.0,0.0,0.0,0.0,0.07134748622775079,0.0,0.11415597796440125,0.09512998163700104
1.4,0.014592409133911133,20.0,0.0,0.0,0.0,0.07729311008006336,0.0,0.1189124770462513,0.09512998163700104
1.45,0.019348621368408203,20.0,0.0,0.0,0.0,0.08347655888646842,0.0,0.12366897612810135,0.09512998163700104
1.5,0.015048503875732422,20.0,0.0,0.0,0.0,0.08989783264696599,0.0,0.1284254752099514,0.09512998163700104
1.55,0.014332294464111328,20.0,0.0,0.0,0.0,0.09655693136155606,0.0,0.13318197429180145,0.09512998163700104
1.6,0.015026330947875977,20.0,0.0,0.0,0.0,0.10345385503023864,0.0,0.1379384733736515,0.09512998163700104
1.65,0.015047311782836914,20.0,0.0,0.0,0.0,0.11058860365301372,0.0,0.14269497245550156,0.09512998163700104
1.7,0.01706409454345703,20.0,0.0,0.0,0.0,0.1179611772298813,0.0,0.1474514715373516,0.09512998163700104
1.75,0.015691518783569336,20.0,0.0,0.0,0.0,0.12557157576084138,0.0,0.15220797061920166,0.09512998163700104
1.8,0.01650261878967285,20.0,0.0,0.0,0.0,0.13341979924589398,0.0,0.1569644697010517,0.09512998163700104
1.85,0.015501260757446289,20.0,0.0,0.0,0.0,0.14150584768503907,0.0,0.16172096878290176,0.09512998163700104
1.9,0.01532435417175293,20.0,0.0,0.0,0.0,0.14982972107827666,0.0,0.16647746786475182,0.09512998163700104
1.95,0.016570568084716797,20.0,0.0,0.0,0.0,0.15839141942560675,0.0,0.17123396694660187,0.09512998163700104
2.0,0.015561819076538086,20.0,0.0,0.0,0.0,0.16719094272702933,0.0,0.17599046602845192,0.09512998163700104
2.05,0.016190767288208008,20.0,0.0,0.0,0.0,0.17622829098254444,0.0,0.18074696511030197,0.09512998163700104
2.1,0.016158580780029297,20.0,0.0,0.0,0.0,0.18550346419215205,0.0,0.18550346419215202,0.09512998163700104
2.15,0.015655040740966797,20.0,0.0,0.0,0.0,0.19501646235585215,0.0,0.19025996327400208,0.09512998163700104
2.2,0.016216754913330078,20.0,0.0,0.0,0.0,0.20476728547364476,0.0,0.19501646235585213,0.09512998163700104
2.25,0.015459299087524414,20.0,0.0,0.0,0.0,0.21475593354552985,0.0,0.19977296143770218,0.09512998163700104
2.3,0.015584230422973633,20.0,0.0,0.0,0.0,0.22498240657150748,0.0,0.20452946051955223,0.09512998163700104
2.35,0.014787673950195312,20.0,0.0,0.0,0.0,0.2354467045515776,0.0,0.20928595960140228,0.09512998163700104
2.4,0.016907215118408203,20.0,0.0,0.0,0.0,0.2461488274857402,0.0,0.21404245868325233,0.09512998163700104
2.45,0.014743328094482422,20.0,0.0,0.0,0.0,0.2570887753739953,0.0,0.2187989577651024,0.09512998163700104
2.5,0.021471023559570312,20.0,0.0,0.0,0.0,0.26826654821634294,0.0,0.22355545684695244,0.09512998163700104
2.55,0.01636672019958496,20.0,0.0,0.0,0.0,0.2796821460127831,0.0,0.2283119559288025,0.09512998163700104
2.6,0.015376091003417969,20.0,0.0,0.0,0.0,0.2913355687633157,0.0,0.23306845501065254,0.09512998163700104
2.65,0.01793837547302246,20.0,0.0,0.0,0.0,0.3032268164679408,0.0,0.2378249540925026,0.09512998163700104
2.7,0.016702651977539062,20.0,0.0,0.0,0.0,0.31535588912665846,0.0,0.24258145317435265,0.09512998163700104
2.75,0.015160560607910156,20.0,0.0,0.0,0.0,0.3277227867394686,0.0,0.2473379522562027,0.09512998163700104
2.8,0.01543283462524414,20.0,0.0,0.0,0.0,0.34032750930637123,0.0,0.25209445133805275,0.09512998163700104
2.85,0.016042232513427734,20.0,0.0,0.0,0.0,0.35317005682736635,0.0,0.2568509504199028,0.09512998163700104
2.9,0.019840478897094727,20.0,0.0,0.0,0.0,0.366250429302454,0.0,0.26160744950175285,0.09512998163700104
2.95,0.01491403579711914,20.0,0.0,0.0,0.0,0.37956862673163416,0.0,0.2663639485836029,0.09512998163700104
3.0,0.01773357391357422,20.0,0.0,0.0,0.0,0.3931246491149068,0.0,0.27112044766545296,0.09512998163700104
3.05,0.015295267105102539,20.0,0.0,0.0,0.0,0.40691849645227196,0.0,0.275876946747303,0.09512998163700104
3.1,0.01563739776611328,20.0,0.0,0.0,0.0,0.4209501687437296,0.0,0.28063344582915306,0.09512998163700104
3.15,0.02825331687927246,20.0,0.0,0.0,0.0,0.43521966598927975,0.0,0.2853899449110031,0.09512998163700104
3.2,0.015538692474365234,20.0,0.0,0.0,0.0,0.4497269881889224,0.0,0.29014644399285316,0.09512998163700104
3.25,0.020473003387451172,20.0,0.0,0.0,0.0,0.4644721353426576,0.0,0.2949029430747032,0.09512998163700104
3.3,0.015749454498291016,20.0,0.0,0.0,0.0,0.47945510745048525,0.0,0.29965944215655327,0.09512998163700104
3.35,0.020134925842285156,20.0,0.0,0.0,0.0,0.4946759045124054,0.0,0.3044159412384033,0.09512998163700104
3.4,0.01796126365661621,20.0,0.0,0.0,0.0,0.5101345265284181,0.0,0.30917244032025337,0.09512998163700104
3.45,0.015497684478759766,20.0,0.0,0.0,0.0,0.5258309734985233,0.0,0.3139289394021034,0.09512998163700104
3.5,0.014525413513183594,20.0,0.0,0.0,0.0,0.541765245422721,0.0,0.3186854384839535,0.09512998163700104
3.55,0.01557159423828125,20.0,0.0,0.0,0.0,0.5579373423010111,0.0,0.32344193756580353,0.09512998163700104
3.6,0.0160372257232666,20.0,0.0,0.0,0.0,0.5743472641333938,0.0,0.3281984366476536,0.09512998163700104
3.65,0.01704573631286621,20.0,0.0,0.0,0.0,0.590995010919869,0.0,0.33295493572950363,0.09512998163700104
3.7,0.018709659576416016,20.0,0.0,0.0,0.0,0.6078805826604367,0.0,0.3377114348113537,0.09512998163700104
3.75,0.015797853469848633,20.0,0.0,0.0,0.0,0.6250039793550969,0.0,0.34246793389320374,0.09512998163700104
3.8,0.016124963760375977,20.0,0.0,0.0,0.0,0.6423652010038495,0.0,0.3472244329750538,0.09512998163700104
3.85,0.01572704315185547,20.0,0.0,0.0,0.0,0.6599642476066947,0.0,0.35198093205690384,0.09512998163700104
3.9,0.0160977840423584,20.0,0.0,0.0,0.0,0.6778011191636324,0.0,0.3567374311387539,0.09512998163700104
3.95,0.01834726333618164,20.0,0.0,0.0,0.0,0.6958758156746626,0.0,0.36149393022060394,0.09512998163700104
4.0,0.015582084655761719,20.0,0.0,0.0,0.0,0.7141883371397854,0.0,0.366250429302454,0.09512998163700104
4.05,0.016808748245239258,20.0,0.0,0.0,0.0,0.7327386835590005,0.0,0.37100692838430405,0.09512998163700104
4.1,0.016281843185424805,20.0,0.0,0.0,0.0,0.7515268549323082,0.0,0.3757634274661541,0.09512998163700104
4.15,0.022039413452148438,20.0,0.0,0.0,0.0,0.7705528512597084,0.0,0.38051992654800415,0.09512998163700104
4.2,0.02251458168029785,20.0,0.0,0.0,0.0,0.7898166725412011,0.0,0.3852764256298542,0.09512998163700104
4.25,0.015980958938598633,20.0,0.0,0.0,0.0,0.8093183187767864,0.0,0.39003292471170425,0.09512998163700104
4.3,0.015353202819824219,20.0,0.0,0.0,0.0,0.8290577899664641,0.0,0.3947894237935543,0.09512998163700104
4.35,0.015234708786010742,20.0,0.0,0.0,0.0,0.8490350861102343,0.0,0.39954592287540436,0.09512998163700104
4.4,0.016062021255493164,20.0,0.0,0.0,0.0,0.869250207208097,0.0,0.4043024219572544,0.09512998163700104
4.45,0.01574397087097168,20.0,0.0,0.0,0.0,0.8897031532600522,0.0,0.40905892103910446,0.09512998163700104
4.5,0.015517234802246094,20.0,0.0,0.0,0.0,0.9103939242661,0.0,0.4138154201209545,0.09512998163700104
4.55,0.016059398651123047,20.0,0.0,0.0,0.0,0.9313225202262402,0.0,0.41857191920280457,0.09512998163700104
4.6,0.016565799713134766,20.0,0.0,0.0,0.0,0.9524889411404729,0.0,0.4233284182846546,0.09512998163700104
