Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.008480548858642578,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.00823354721069336,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.008722305297851562,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.008420944213867188,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.00801229476928711,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.008619546890258789,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.015511512756347656,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.01615762710571289,20.0,0.0,0.0,0.0,0.0002378249540925026,0.0,0.004756499081850052,0.09512998163700104
0.4,0.01700615882873535,20.0,0.0,0.0,0.0,0.0007134748622775078,0.0,0.009512998163700104,0.09512998163700104
0.45,0.021162986755371094,20.0,0.0,0.0,0.0,0.0014269497245550157,0.0,0.014269497245550156,0.09512998163700104
0.5,0.015434741973876953,20.0,0.0,0.0,0.0,0.0023782458325678655,0.0,0.019025922160256992,0.09512849829413673
0.55,0.016291379928588867,20.0,0.0,0.0,0.0,0.0035673557696017356,0.0,0.0237821987406774,0.09512553160840813
0.6,0.01845550537109375,20.0,0.0,0.0,0.0,0.004994268410585144,0.0,0.02853825281966816,0.09512108157981522
0.65,0.015168905258178711,20.0,0.0,0.0,0.0,0.006658950380303643,0.0,0.03329363939436999,0.09510773149403656
0.7,0.019088029861450195,20.0,0.0,0.0,0.0,0.00856137942861427,0.0,0.03804858096621253,0.09509883143685088
0.75,0.016980409622192383,20.0,0.0,0.0,0.0,0.010701555555517023,0.0,0.04280352253805507,0.09509883143685074
0.8,0.014776945114135742,20.0,0.0,0.0,0.0,0.01307945278557864,0.0,0.04755794460123235,0.09508844126354568
0.85,0.020856618881225586,20.0,0.0,0.0,0.0,0.015695041451941838,0.0,0.052311773327263916,0.09507657452063126
0.9,0.016591548919677734,20.0,0.0,0.0,0.0,0.018548288179392164,0.0,0.057064934549006546,0.0950632244348526
0.95,0.017131805419921875,20.0,0.0,0.0,0.0,0.021639155884358018,0.0,0.06181735409931703,0.09504839100620971
1.0,0.019512414932250977,20.0,0.0,0.0,0.0,0.024967603774910627,0.0,0.06656895781105215,0.09503207423470245
1.05,0.015178203582763672,20.0,0.0,0.0,0.0,0.028533587367697198,0.0,0.07131967185573145,0.09501428089358582
1.1,0.01806640625,20.0,0.0,0.0,0.0,0.03233705845407465,0.0,0.07606942172754895,0.09499499743635009
1.15,0.016847610473632812,20.0,0.0,0.0,0.0,0.036377965133975856,0.0,0.0808181335980242,0.094974237409505
1.2,0.014678955078125,20.0,0.0,0.0,0.0,0.04065625178204342,0.0,0.08556573296135123,0.09495198726654053
1.25,0.01739954948425293,20.0,0.0,0.0,0.0,0.0451718590814959,0.0,0.09031214598904957,0.09492826055396697
