Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],MachE_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11683623799945053,0.05,0.012306928634643555,20.0,0.0,0.0,0.0,0.006437465853539762,0.0,0.12874931707079523,2.5749863414159044,0.0
0.13014035699961823,0.1,0.020074129104614258,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5749863414159044,0.0
0.15152109199971164,0.15,0.004685401916503906,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1567621419999341,0.2,0.007180213928222656,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16428534999977273,0.25,0.0158236026763916,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22153241699925275,0.3,0.014922142028808594,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26930596900001547,0.35,0.016859054565429688,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32206518199927814,0.4,0.011915206909179688,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36684188799972617,0.45,0.01379084587097168,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4191326209993349,0.5,0.0117034912109375,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46702739400006976,0.55,0.011365890502929688,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5148983559993212,0.6,0.012887954711914062,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5688058579999051,0.65,0.013174772262573242,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6175930229992446,0.7,0.013719558715820312,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.669506829999591,0.75,0.013476371765136719,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
