Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],MachE_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11939907300029518,0.05,0.011393308639526367,20.0,0.0,0.0,0.0,0.006437465853539762,0.0,0.12874931707079523,2.5749863414159044,0.0
0.132068996000271,0.1,0.014578104019165039,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5749863414159044,0.0
0.14741612400030135,0.15,0.004456043243408203,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15219929100021545,0.2,0.004220008850097656,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15671261900024547,0.25,0.013643980026245117,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21910152300006303,0.3,0.013733863830566406,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26791999500028396,0.35,0.011283636093139648,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3170673290001105,0.4,0.01221156120300293,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3682043190001423,0.45,0.013823509216308594,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41882535800004916,0.5,0.01468658447265625,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4689831509999749,0.55,0.011237144470214844,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5156718960001854,0.6,0.01325845718383789,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5683698630000436,0.65,0.011556386947631836,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6157040350003626,0.7,0.013286352157592773,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6692026929999884,0.75,0.013581514358520508,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
