Run,DisplayParameter,Scenario,Sweep,Samples,MeanDelay_s,MeanVsNominal_s,RMSDelay_s,StdDelay_s,PeakAbsDelay_s,PeakVsNominal_s
1,nominal,nominal,Client count,801,0.200749079006888,0,0.206329322465392,0.0476910482443788,0.4,0.199250920993112
2,3,RSComp_288B_10PPS_3C,Client count,801,0.201498162768753,0.000749083761865277,0.209213535890124,0.0563272136091043,0.400001525878906,0.199252446872018
3,6,RSComp_288B_10PPS_6C,Client count,801,0.203121115689569,0.00237203668268132,0.209064274736768,0.0495252000137358,0.400000762939452,0.199251683932564
4,9,RSComp_288B_10PPS_9C,Client count,801,0.290262148360932,0.0895130693540442,0.308170012451372,0.103585894818885,0.89999694824219,0.699247869235302
5,12,RSComp_288B_10PPS_12C,Client count,801,0.361672984489639,0.160923905482751,0.40154202030522,0.174547077228771,1.00000152587891,0.79925244687202
6,15,RSComp_288B_10PPS_15C,Client count,801,0.407116054484014,0.206366975477126,0.453051739532549,0.198901451404788,1.10000076293945,0.899251683932564
7,18,RSComp_288B_10PPS_18C,Client count,801,0.540074890658501,0.339325811651613,0.597079852908058,0.254763601320818,1.60000038146973,1.39925130246284
8,21,RSComp_288B_10PPS_21C,Client count,801,0.476529461383522,0.275780382376634,0.539905822966377,0.253965534215106,1.50000152587891,1.29925244687202
9,24,RSComp_288B_10PPS_24C,Client count,801,0.439325891816512,0.238576812809624,0.489171164534791,0.215265047042455,1.2000015258789,0.999252446872015
10,27,RSComp_288B_10PPS_27C,Client count,801,0.599126007896238,0.39837692888935,0.680924205783413,0.323784933149991,1.50000152587891,1.29925244687202
11,30,RSComp_288B_10PPS_30C,Client count,801,1.00724081827163,0.806491739264737,1.36455936972145,0.921166416974423,5.70000038146973,5.49925130246284
12,400,RSComp_400B_10PPS_15C,Packet size,801,0.496379468659783,0.295630389652895,0.571613068534609,0.283635962752606,1.40000152587891,1.19925244687202
13,500,RSComp_500B_10PPS_15C,Packet size,801,0.436079929718811,0.235330850711923,0.489069054046636,0.221549346795835,1.2,0.999250920993115
14,600,RSComp_600B_10PPS_15C,Packet size,801,0.479650381092126,0.278901302085238,0.547585741039161,0.26433480243286,1.40000000000001,1.19925092099312
15,700,RSComp_700B_10PPS_15C,Packet size,801,0.465792742003216,0.265043662996328,0.529138445587305,0.251203895005221,1.30000038146973,1.09925130246284
16,800,OBComp_800B_10PPS_15C,Packet size,801,0.495131110765514,0.294382031758626,0.566060510840566,0.274524629480757,1.30000152587891,1.09925244687202
17,900,RSComp_900B_10PPS_15C,Packet size,801,0.45917597599095,0.258426896984062,0.518809688563603,0.241648126757163,1.50000076293945,1.29925168393256
18,1000,RSComp_1000B_10PPS_15C,Packet size,801,0.501123613781399,0.300374534774511,0.569600271613157,0.270945091529388,1.30000076293945,1.09925168393257
19,20,RSComp_288B_20PPS_15C,Packet rate,801,0.550936402192574,0.350187323185686,0.627371961799063,0.30029525473223,1.40000305175781,1.19925397275092
20,30,RSComp_288B_30PPS_15C,Packet rate,801,0.564793992169043,0.364044913162155,0.649017290647166,0.319935898198692,1.80000038146973,1.59925130246284
21,35,RSComp_288B_90PPS_15C,Packet rate,801,1.04781549324406,0.847066414237171,1.3890201577334,0.912413839943705,5.60000305175781,5.39925397275092
22,40,RSComp_288B_40PPS_15C,Packet rate,801,1.2443194393808,1.04357036037391,1.70764939348898,1.17023299105014,6.39999847412109,6.1992493951142
23,50,RSComp_288B_50PPS_15C,Packet rate,801,4.1018729094188,3.90112383041191,6.14122013204899,4.57332864273294,19.1000007629395,18.8992516839326
25,70,RSComp_288B_70PPS_15C,Packet rate,801,4.12072416738178,3.91997508837489,5.2795948356827,3.30263094483472,12.3000030517578,12.0992539727509
