Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
0.006113411989645101,0.2,89.30000305175781,0.003327608108520508,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,-0.01733683981001377
0.11360426199098583,0.3,89.30000305175781,0.008245706558227539,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,-0.01733683981001377
0.21299092698609456,0.4,0.20000000298023224,0.007982969284057617,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.09435022622346878
0.3132821659964975,0.5,0.30000001192092896,0.007589817047119141,20.0,-76146229#1_0,0.0,0.0,0.0009130667053884075,-76146229#1_0,0.009130667053884075,0.09130667053884074,0.09435022622346878
0.4133598129992606,0.6,0.4000000059604645,0.008167743682861328,20.0,-76146229#1_0,0.0,0.0,0.0027392001161652226,-76146229#1_0,0.01826133410776815,0.09130667053884074,0.09435022622346878
0.5138166429969715,0.7,0.5,0.00805211067199707,20.0,-76146229#1_0,0.0,0.0,0.005478400232330445,-76146229#1_0,0.027392001161652225,0.09130667053884076,0.08981119096279144
0.6129728529922431,0.8,0.6000000238418579,0.00805211067199707,20.0,-76146229#1_0,0.0,0.0,0.0090867409062001,-76146229#1_0,0.03608340673869656,0.08691405577044335,0.08857729285955429
0.7133453199930955,0.9,0.699999988079071,0.007925033569335938,20.0,-76146229#1_0,0.0,0.0,0.013552281188388023,-76146229#1_0,0.044655402821879235,0.08571996083182674,0.08733712136745453
0.8130345559911802,1.0,0.800000011920929,0.00801849365234375,20.0,-76146229#1_0,0.0,0.0,0.018863019419293248,-76146229#1_0,0.05310738230905225,0.08451979487173016,0.086309053003788
0.913546295996639,1.1,0.8999999761581421,0.008111953735351562,20.0,-76146229#1_0,0.0,0.0,0.025009006550235132,-76146229#1_0,0.06145987130941883,0.0835248900036658,0.08517507463693619
1.0130966479919152,1.2,1.0,0.007963895797729492,20.0,-76146229#1_0,0.0,0.0,0.031979268597018336,-76146229#1_0,0.06970262046783202,0.08242749158413186,0.08405157178640366
1.1134830999944825,1.3,1.100000023841858,0.00785207748413086,20.0,-76146229#1_0,0.0,0.0,0.039762932951411895,-76146229#1_0,0.0778366435439356,0.08134023076103586,0.08292820304632187
