Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
0.006169909000163898,0.2,89.30000305175781,0.003302335739135742,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,-0.07127771526575089
0.11434913100674748,0.3,89.30000305175781,0.007957220077514648,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,-0.07127771526575089
0.21379517200693954,0.4,89.30000305175781,0.00832056999206543,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,-0.07127771526575089
0.3140739430091344,0.5,0.20000000298023224,0.008030176162719727,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.09435022622346878
0.41403899900615215,0.6,0.30000001192092896,0.00827789306640625,20.0,-76146229#1_0,0.0,0.0,0.0009130667053884075,-76146229#1_0,0.009130667053884075,0.09130667053884074,0.09435022622346878
0.5128921510040527,0.7,0.4000000059604645,0.008203506469726562,20.0,-76146229#1_0,0.0,0.0,0.0027392001161652226,-76146229#1_0,0.01826133410776815,0.09130667053884074,0.09435022622346878
0.6124590789986541,0.8,0.5,0.00829935073852539,20.0,-76146229#1_0,0.0,0.0,0.005478400232330445,-76146229#1_0,0.027392001161652225,0.09130667053884076,0.09435022622346878
0.7129492070089327,0.9,0.6000000238418579,0.008167505264282227,20.0,-76146229#1_0,0.0,0.0,0.009130667053884076,-76146229#1_0,0.0365226682155363,0.09130667053884073,0.08981119096279144
0.8131588899996132,1.0,0.699999988079071,0.007708311080932617,20.0,-76146229#1_0,0.0,0.0,0.01365207443314214,-76146229#1_0,0.045214073792580634,0.08691405577044335,0.08857729285955429
0.9140181440016022,1.1,0.800000011920929,0.008015871047973633,20.0,-76146229#1_0,0.0,0.0,0.01903068142071847,-76146229#1_0,0.05378606987576331,0.08571996083182674,0.08733712136745453
1.011072396999225,1.2,0.8999999761581421,0.007831573486328125,20.0,-76146229#1_0,0.0,0.0,0.025254486357012104,-76146229#1_0,0.062238049362936324,0.08451979487173016,0.08609068393707275
1.11397019001015,1.3,1.0,0.007837772369384766,20.0,-76146229#1_0,0.0,0.0,0.03231142694430966,-76146229#1_0,0.07056940587297562,0.083313565100393,0.0850563496351242
1.2135258810012601,1.4,1.100000023841858,0.0075359344482421875,20.0,-76146229#1_0,0.0,0.0,0.040191493495818104,-76146229#1_0,0.07880066551508441,0.08231259642108787,0.08391610532999039
1.3145959730027243,1.5,1.2000000476837158,0.00796365737915039,20.0,-76146229#1_0,0.0,0.0,0.048883651389229676,-76146229#1_0,0.08692157893411574,0.08120913419031331,0.08278633654117584
1.4141549870109884,1.6,1.2999999523162842,0.007809877395629883,20.0,-76146229#1_0,0.0,0.0,0.058376967378201014,-76146229#1_0,0.0949331598897134,0.08011580955597661,0.0816672071814537
1.5130599340045592,1.7,1.399999976158142,0.007900238037109375,20.0,-76146229#1_0,0.0,0.0,0.06866061117860578,-76146229#1_0,0.10283643800404763,0.07903278114334222,0.08054837584495544
1.6133405400032643,1.8,1.5,0.007950544357299805,20.0,-76146229#1_0,0.0,0.0,0.07972375539041333,-76146229#1_0,0.11063144211807557,0.07795004114027948,0.07944244891405106
1.712092328001745,1.9,1.600000023841858,0.009180784225463867,20.0,-76146229#1_0,0.0,0.0,0.09155569749493751,-76146229#1_0,0.1183194210452418,0.07687978927166231,0.07834527641534805
1.8145681770110969,2.0,1.7000000476837158,0.008034944534301758,20.0,-76146229#1_0,0.0,0.0,0.10414581969380377,-76146229#1_0,0.12590122198866258,0.07581800943420772,0.07725680619478226
1.913454913010355,2.1,1.7999999523162842,0.007933855056762695,20.0,-76146229#1_0,0.0,0.0,0.11748358840423243,-76146229#1_0,0.13337768710428666,0.07476465115624081,0.0761774480342865
2.0126601649972145,2.2,1.899999976158142,0.008083820343017578,20.0,-76146229#1_0,0.0,0.0,0.13155855822467033,-76146229#1_0,0.1407496982043789,0.07372011100092252,0.07510668784379959
2.1146718520030845,2.3,2.0,0.00807046890258789,20.0,-76146229#1_0,0.0,0.0,0.14636036695972562,-76146229#1_0,0.14801808735055305,0.07268389146174142,0.0740446150302887
2.2125693289999617,2.4,2.0999999046325684,0.007753849029541016,20.0,-76146229#1_0,0.0,0.0,0.16187873648539663,-76146229#1_0,0.15518369525671002,0.07165607906156973,0.07299119234085083
2.3135319220018573,2.5,2.200000047683716,0.007730960845947266,20.0,-76146229#1_0,0.0,0.0,0.17810347238855975,-76146229#1_0,0.16224735903163107,0.07063663774921042,0.07194637507200241
2.412974341001245,2.6,2.299999952316284,0.008524894714355469,20.0,-76146229#1_0,0.0,0.0,0.19502446353435515,-76146229#1_0,0.1692099114579539,0.06962552426322821,0.07091011852025986
2.51279649900971,2.7,2.4000000953674316,0.008249044418334961,20.0,-76146229#1_0,0.0,0.0,0.2126316816335724,-76146229#1_0,0.1760721809921726,0.06862269534218701,0.06988240033388138
2.6110268110060133,2.8,2.5,0.008072614669799805,20.0,-76146229#1_0,0.0,0.0,0.23091518102634334,-76146229#1_0,0.1828349939277095,0.06762812935536905,0.0688631609082222
2.7134670430095866,2.9,2.5999999046325684,0.007566213607788086,20.0,-76146229#1_0,0.0,0.0,0.2498650981053229,-76146229#1_0,0.1894991707897955,0.06664176862086008,0.06788180023431778
2.8127743320073932,3.0,2.700000047683716,0.008167743682861328,20.0,-76146229#1_0,0.0,0.0,0.26947193583173135,-76146229#1_0,0.19606837726408433,0.06569206474288825,0.06734049320220947
2.9129093660012586,3.1,2.799999952316284,0.00863194465637207,20.0,-76146229#1_0,0.0,0.0,0.2897304557504192,-76146229#1_0,0.20258519918687878,0.06516821922794458,0.06683748215436935
3.012779519005562,3.2,2.9000000953674316,0.00784158706665039,20.0,-76146229#1_0,0.0,0.0,0.3106357900125365,-76146229#1_0,0.2090533426211726,0.06468143434293805,0.06634999811649323
3.1129537070082733,3.3,3.0,0.008075237274169922,20.0,-76146229#1_0,0.0,0.0,0.3321832210306198,-76146229#1_0,0.2154743101808332,0.06420967559660623,0.06587035208940506
3.2132546860084403,3.4,3.0999999046325684,0.007529020309448242,20.0,-76146229#1_0,0.0,0.0,0.3543681070689232,-76146229#1_0,0.2218488603830337,0.06374550202200485,0.06538500636816025
3.313936496997485,3.5,3.200000047683716,0.008142232894897461,20.0,-76146229#1_0,0.0,0.0,0.37718575123337006,-76146229#1_0,0.22817644164446857,0.06327581261434873,0.0654899924993515
3.412755487006507,3.6,3.299999952316284,0.00776362419128418,20.0,-76146229#1_0,0.0,0.0,0.40063716951877837,-76146229#1_0,0.23451418285408324,0.06337741209614667,0.07423671334981918
3.5120396740094293,3.7,3.4000000953674316,0.007321596145629883,20.0,-76146229#1_0,0.0,0.0,0.42480700761079787,-76146229#1_0,0.24169838092019477,0.07184198066111536,0.08358442783355713
3.614601538007264,3.8,3.5,0.008175134658813477,20.0,-76146229#1_0,0.0,0.0,0.44978572726249694,-76146229#1_0,0.24978719651699063,0.08088815596795862,0.09308542311191559
3.7123580330080586,3.9,3.5999999046325684,0.008370637893676758,20.0,-76146229#1_0,0.0,0.0,0.4756652735894726,-76146229#1_0,0.25879546326975666,0.09008266752766031,0.10258061438798904
3.813725123007316,4.0,3.700000047683716,0.007755756378173828,20.0,-76146229#1_0,0.0,0.0,0.5025375355395578,-76146229#1_0,0.26872261950085236,0.0992715623109569,0.1118055060505867
3.9120895660016686,4.1,3.799999952316284,0.008619308471679688,20.0,-76146229#1_0,0.0,0.0,0.5304917862578745,-76146229#1_0,0.2795425071831672,0.10819887682314844,0.12112408876419067
4.013142748008249,4.2,3.9000000953674316,0.007873773574829102,20.0,-76146229#1_0,0.0,0.0,0.559618205577135,-76146229#1_0,0.291264193192605,0.11721686009437793,0.13369672000408173
4.11386119099916,4.3,4.0,0.007699489593505859,20.0,-76146229#1_0,0.0,0.0,0.5900384641222415,-76146229#1_0,0.3042025854510645,0.12938392258459497,0.1463848501443863
