Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2],v2_dist [m],v2_lane [-],v2_spd [m/s],v2_acc [m/s2],v2_accCmd [m/s2]
0.0064126289944397286,0.2,0.0,0.0033197402954101562,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.11294669400376733,0.3,0.0,0.008599042892456055,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.2127098759956425,0.4,0.20000000298023224,0.008321762084960938,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.09435022622346878,nan,nan,nan,nan,nan
0.3112286809919169,0.5,0.30000001192092896,0.007814407348632812,20.0,-76146229#1_0,0.0,0.0,0.0009130667053884075,-76146229#1_0,0.009130667053884075,0.09130667053884074,0.09435022622346878,nan,nan,nan,nan,nan
0.4141809979919344,0.6,0.4000000059604645,0.008024454116821289,20.0,-76146229#1_0,0.0,0.0,0.0027392001161652226,-76146229#1_0,0.01826133410776815,0.09130667053884074,0.09435022622346878,nan,nan,nan,nan,nan
0.5127445559919579,0.7,0.5,0.008307933807373047,20.0,-76146229#1_0,0.0,0.0,0.005478400232330445,-76146229#1_0,0.027392001161652225,0.09130667053884076,0.08981119096279144,nan,nan,nan,nan,nan
0.6129870690056123,0.8,0.6000000238418579,0.00797724723815918,20.0,-76146229#1_0,0.0,0.0,0.0090867409062001,-76146229#1_0,0.03608340673869656,0.08691405577044335,0.08857729285955429,nan,nan,nan,nan,nan
0.7129392570059281,0.9,0.699999988079071,0.00881648063659668,20.0,-76146229#1_0,0.0,0.0,0.013552281188388023,-76146229#1_0,0.044655402821879235,0.08571996083182674,0.08733712136745453,nan,nan,nan,nan,nan
0.8131420669960789,1.0,0.800000011920929,0.0075757503509521484,20.0,-76146229#1_0,0.0,0.0,0.018863019419293248,-76146229#1_0,0.05310738230905225,0.08451979487173016,0.086309053003788,nan,nan,nan,nan,nan
0.9121926660009194,1.1,0.8999999761581421,0.008287191390991211,20.0,-76146229#1_0,0.0,0.0,0.025009006550235132,-76146229#1_0,0.06145987130941883,0.0835248900036658,0.08517507463693619,nan,nan,nan,nan,nan
1.0124650439975085,1.2,1.0,0.008221626281738281,20.0,-76146229#1_0,0.0,0.0,0.031979268597018336,-76146229#1_0,0.06970262046783202,0.08242749158413186,0.08405157178640366,nan,nan,nan,nan,nan
1.114182024000911,1.3,1.100000023841858,0.008296012878417969,20.0,-76146229#1_0,0.0,0.0,0.039762932951411895,-76146229#1_0,0.0778366435439356,0.08134023076103586,0.08292820304632187,nan,nan,nan,nan,nan
1.2125580739957513,1.4,1.2000000476837158,0.008217334747314453,20.0,-76146229#1_0,0.0,0.0,0.04834912830302793,-76146229#1_0,0.0858619535161603,0.08025309972224698,0.08181756734848022,nan,nan,nan,nan,nan
1.312123205003445,1.5,1.2999999523162842,0.00814056396484375,20.0,-76146229#1_0,0.0,0.0,0.05772710656446796,-76146229#1_0,0.09377978261440033,0.07917829098240028,0.08071553707122803,nan,nan,nan,nan,nan
1.412392529004137,1.6,1.399999976158142,0.008145332336425781,20.0,-76146229#1_0,0.0,0.0,0.06788620292659729,-76146229#1_0,0.10159096362129336,0.07811181006893028,0.0796225294470787,nan,nan,nan,nan,nan
1.5122001109994017,1.7,1.5,0.008257627487182617,20.0,-76146229#1_0,0.0,0.0,0.07881583989627901,-76146229#1_0,0.10929636969681711,0.07705406075523752,0.07853802293539047,nan,nan,nan,nan,nan
1.612408539003809,1.8,1.600000023841858,0.008182048797607422,20.0,-76146229#1_0,0.0,0.0,0.09050552224920644,-76146229#1_0,0.11689682352927425,0.07600453832457138,0.07746212184429169,nan,nan,nan,nan,nan
1.7123402470024303,1.9,1.7000000476837158,0.008214950561523438,20.0,-76146229#1_0,0.0,0.0,0.10294483803933668,-76146229#1_0,0.12439315790130247,0.07496334372028221,0.07639475911855698,nan,nan,nan,nan,nan
1.8125033239921322,2.0,1.7999999523162842,0.008178949356079102,20.0,-76146229#1_0,0.0,0.0,0.11612345794996909,-76146229#1_0,0.1317861991063241,0.07393041205021642,0.07533592730760574,nan,nan,nan,nan,nan
1.9127447259961627,2.1,1.899999976158142,0.008702278137207031,20.0,-76146229#1_0,0.0,0.0,0.13003113522164284,-76146229#1_0,0.13907677271673757,0.07290573610413464,0.07428557425737381,nan,nan,nan,nan,nan
2.012207159001264,2.2,2.0,0.007905244827270508,20.0,-76146229#1_0,0.0,0.0,0.1446577051474202,-76146229#1_0,0.14626569925777375,0.07188926541036172,0.07324367016553879,nan,nan,nan,nan,nan
2.112094943993725,2.3,2.0999999046325684,0.007891416549682617,20.0,-76146229#1_0,0.0,0.0,0.159993084784477,-76146229#1_0,0.1533537963705678,0.07088097112794067,0.0722101703286171,nan,nan,nan,nan,nan
2.2120433279924328,2.4,2.200000047683716,0.007947921752929688,20.0,-76146229#1_0,0.0,0.0,0.17602727252148814,-76146229#1_0,0.1603418773701114,0.06988080999543594,0.07118503004312515,nan,nan,nan,nan,nan
2.312549174996093,2.5,2.299999952316284,0.008235454559326172,20.0,-76146229#1_0,0.0,0.0,0.1927503476460134,-76146229#1_0,0.16723075124525255,0.06888873875141144,0.07016822695732117,nan,nan,nan,nan,nan
2.4125671130022965,2.6,2.4000000953674316,0.008275032043457031,20.0,-76146229#1_0,0.0,0.0,0.21015247012819016,-76146229#1_0,0.1740212248217675,0.06790473576514938,0.06915970891714096,nan,nan,nan,nan,nan
2.512974117998965,2.7,2.5,0.008537769317626953,20.0,-76146229#1_0,0.0,0.0,0.22822388011601666,-76146229#1_0,0.180714099878265,0.06692875056497516,0.06815943866968155,nan,nan,nan,nan,nan
2.6127467729966156,2.8,2.5999999046325684,0.008050918579101562,20.0,-76146229#1_0,0.0,0.0,0.24695489757484007,-76146229#1_0,0.18731017458823418,0.06596074709969174,0.0671968087553978,nan,nan,nan,nan,nan
2.7126124130008975,2.9,2.700000047683716,0.008522987365722656,20.0,-76146229#1_0,0.0,0.0,0.2663362067312964,-76146229#1_0,0.193813091564563,0.06502916976328821,0.06667400896549225,nan,nan,nan,nan,nan
2.8128347610036144,3.0,2.799999952316284,0.008005857467651367,20.0,-76146229#1_0,0.0,0.0,0.28636274823258,-76146229#1_0,0.20026541501283646,0.06452323448273456,0.06618926674127579,nan,nan,nan,nan,nan
2.9127003909961786,3.1,2.9000000953674316,0.008532047271728516,20.0,-76146229#1_0,0.0,0.0,0.3070298310249083,-76146229#1_0,0.2066708279232825,0.06405412910446051,0.0657184049487114,nan,nan,nan,nan,nan
3.0126216969947563,3.2,3.0,0.008254289627075195,20.0,-76146229#1_0,0.0,0.0,0.3283328983812563,-76146229#1_0,0.21303067356348038,0.0635984564019787,0.06523542106151581,nan,nan,nan,nan,nan
3.112310629003332,3.3,3.0999999046325684,0.008289575576782227,20.0,-76146229#1_0,0.0,0.0,0.3502672762640061,-76146229#1_0,0.21934377882749803,0.06313105264017654,0.06476018577814102,nan,nan,nan,nan,nan
3.213640646004933,3.4,3.200000047683716,0.008684635162353516,20.0,-76146229#1_0,0.0,0.0,0.37282836562202826,-76146229#1_0,0.22561089358022135,0.06267114752723318,0.06487580388784409,nan,nan,nan,nan,nan
3.312823728992953,3.5,3.299999952316284,0.008479118347167969,20.0,-76146229#1_0,0.0,0.0,0.3960172853402553,-76146229#1_0,0.23188919718227077,0.06278303602049423,0.07363413274288177,nan,nan,nan,nan,nan
3.413618120001047,3.6,3.4000000953674316,0.007892131805419922,20.0,-76146229#1_0,0.0,0.0,0.4199187934398651,-76146229#1_0,0.23901508099609803,0.07125883813827255,0.08299348503351212,nan,nan,nan,nan,nan
3.5125469799968414,3.7,3.5,0.008207321166992188,20.0,-76146229#1_0,0.0,0.0,0.4446234642978637,-76146229#1_0,0.24704670857998628,0.08031627583888257,0.09247744083404541,nan,nan,nan,nan,nan
