Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2],v2_dist [m],v2_lane [-],v2_spd [m/s],v2_acc [m/s2],v2_accCmd [m/s2]
0.11797445800038986,0.2,0.0,0.006886720657348633,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.1216664910025429,0.3,0.0,0.0032355785369873047,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.2134875240008114,0.4,0.0,0.007840394973754883,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.3142117350071203,0.5,0.30000001192092896,0.008104562759399414,20.0,-76146229#1_0,0.0,0.0,0.0,-76146229#1_0,0.0,0.0,0.09435022622346878,nan,nan,nan,nan,nan
0.41349967500718776,0.6,0.4000000059604645,0.008328437805175781,20.0,-76146229#1_0,0.0,0.0,0.0009130667053884075,-76146229#1_0,0.009130667053884075,0.09130667053884074,0.09435022622346878,nan,nan,nan,nan,nan
0.5144408180058235,0.7,0.5,0.008863687515258789,20.0,-76146229#1_0,0.0,0.0,0.0027392001161652226,-76146229#1_0,0.01826133410776815,0.09130667053884074,0.09435022622346878,nan,nan,nan,nan,nan
0.6142088839987991,0.8,0.6000000238418579,0.008749723434448242,20.0,-76146229#1_0,0.0,0.0,0.005478400232330445,-76146229#1_0,0.027392001161652225,0.09130667053884076,0.08981119096279144,nan,nan,nan,nan,nan
0.7125074680079706,0.9,0.699999988079071,0.008054256439208984,20.0,-76146229#1_0,0.0,0.0,0.0090867409062001,-76146229#1_0,0.03608340673869656,0.08691405577044335,0.08857729285955429,nan,nan,nan,nan,nan
0.8135123210086022,1.0,0.800000011920929,0.008269548416137695,20.0,-76146229#1_0,0.0,0.0,0.013552281188388023,-76146229#1_0,0.044655402821879235,0.08571996083182674,0.08733712136745453,nan,nan,nan,nan,nan
0.9136932880064705,1.1,0.8999999761581421,0.00817418098449707,20.0,-76146229#1_0,0.0,0.0,0.018863019419293248,-76146229#1_0,0.05310738230905225,0.08451979487173016,0.086309053003788,nan,nan,nan,nan,nan
