Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,CollisionRate_per_s
2veh,No Attack,PCF,0,0,0
2veh,No Attack,PCF-I,0,0,0
2veh,No Attack,PCF-IDA,0,0,0
2veh,2s\22s,PCF,73.0018952682673,-18.9406368567329,0.0222965440356745
2veh,2s\22s,PCF-I,4.6597636415439,2.38316752982503,0
2veh,2s\22s,PCF-IDA,-9.72503015506199,-15.8955425728022,0
2veh,2s\19s,PCF,73.6811707185274,-37.5894824508409,0.0445930880713489
2veh,2s\19s,PCF-I,4.77479758112972,2.732126134721,0
2veh,2s\19s,PCF-IDA,-14.8280009141196,-21.9419650167375,0
2veh,2s\20s,PCF,73.3741657056998,-37.5658904235382,0.0445930880713489
2veh,2s\20s,PCF-I,4.52330066735125,2.67947670089906,0
2veh,2s\20s,PCF-IDA,-12.3042040137357,-18.415502017167,0
2veh,1s\20s,PCF,5.02831746417602,-17.0420293756731,0.0111482720178372
2veh,1s\20s,PCF-I,2.59681612313844,1.38315494989825,0
2veh,1s\20s,PCF-IDA,-1.00838787150084,-5.11835608400199,0
2veh,0.5s\20s,PCF,-9.2687109401101,-8.08714346309518,0
2veh,0.5s\20s,PCF-I,1.22741902196241,0.641879421295656,0
2veh,0.5s\20s,PCF-IDA,0.970634916264989,-0.566624290870753,0
2veh,2s\10s,PCF,92.8660156475544,-44.4198324622392,0.0445930880713489
2veh,2s\10s,PCF-I,3.74102367245864,1.16009790294654,0
2veh,2s\10s,PCF-IDA,-9.4278250271034,-19.0694550414251,0
2veh,1.5s\10s,PCF,56.240213855178,-27.8209183776138,0.0111482720178372
2veh,1.5s\10s,PCF-I,2.96892984313514,0.730896252923471,0
2veh,1.5s\10s,PCF-IDA,-4.85151377581526,-11.9257528978837,0
2veh,1s\10s,PCF,13.3194942883601,-20.4469078768363,0.0111482720178372
2veh,1s\10s,PCF-I,2.18601509613183,0.615171095503486,0
2veh,1s\10s,PCF-IDA,-1.13376604570931,-5.84837556680218,0
2veh,0.75s\10s,PCF,1.45202305291416,-14.095280235144,0
2veh,0.75s\10s,PCF-I,1.80455815930228,0.592499235713094,0
2veh,0.75s\10s,PCF-IDA,-1.56414350145878,-6.11018757508828,0
2veh,0.5s\10s,PCF,-3.72368982776327,-8.77213069133567,0
2veh,0.5s\10s,PCF-I,0.934133194944983,0.0200636252353505,0
2veh,0.5s\10s,PCF-IDA,1.25643862754843,-0.319763311000084,0
2veh,0.2s\10s,PCF,-2.16660702759246,-2.91905447183502,0
2veh,0.2s\10s,PCF-I,0.40092933134958,0.222922995637159,0
2veh,0.2s\10s,PCF-IDA,0.156015721412291,-0.682916751856297,0
2veh,0.1s\10s,PCF,-5.84864145216819,-4.3942196128613,0
2veh,0.1s\10s,PCF-I,0.0131557092227286,-0.261466190276075,0
2veh,0.1s\10s,PCF-IDA,0.276566925272554,0.0344676515071944,0
3veh,No Attack,PCF,0,0,0
3veh,No Attack,PCF-I,0,0,0
3veh,No Attack,PCF-IDA,0,0,0
3veh,2s\22s,PCF,74.776504167482,-16.2811696842497,0.0222965440356745
3veh,2s\22s,PCF-I,4.36553715810633,1.55138834421899,0
3veh,2s\22s,PCF-IDA,-10.864496366478,-17.3537255731154,0
3veh,2s\19s,PCF,76.2747652263066,-35.0888009648568,0.0445930880713489
3veh,2s\19s,PCF-I,4.58966648295537,2.10660455378532,0
3veh,2s\19s,PCF-IDA,-14.7650380924886,-21.9076290904855,0
3veh,2s\20s,PCF,75.4562952863548,-35.1821616426295,0.0445930880713489
3veh,2s\20s,PCF-I,4.6009415553206,2.20212232575595,0
3veh,2s\20s,PCF-IDA,-12.9434522147201,-19.3743273688,0
3veh,1s\20s,PCF,9.82577411428325,-14.2031609428416,0.0111482720178372
3veh,1s\20s,PCF-I,2.43691854762493,0.979686908831585,0
3veh,1s\20s,PCF-IDA,-0.405674743925285,-4.12111993386755,0
3veh,0.5s\20s,PCF,-6.52811539510551,-5.40048529278429,0
3veh,0.5s\20s,PCF-I,1.26800315691237,0.547981234703469,0
3veh,0.5s\20s,PCF-IDA,1.21923032668006,-0.256868812277366,0
3veh,2s\10s,PCF,97.2711566504769,-43.5918629755421,0.0557413600891862
3veh,2s\10s,PCF-I,3.27879787944144,0.359684324693971,0
3veh,2s\10s,PCF-IDA,-9.9521944593606,-19.1336834833731,0
3veh,1.5s\10s,PCF,55.4230981437443,-24.5096408112504,0.0111482720178372
3veh,1.5s\10s,PCF-I,2.20529742631429,-0.372966268610396,0
3veh,1.5s\10s,PCF-IDA,-5.08160528950519,-11.9292421382506,0
3veh,1s\10s,PCF,18.2616847371758,-17.2792756983462,0.0111482720178372
3veh,1s\10s,PCF-I,2.08199773816661,0.00219295818105472,0
