Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,RMS_Effort_Dev_pct
2veh,No Attack,PCF,0,0,0
2veh,No Attack,PCF-I,0,0,0
2veh,No Attack,PCF-IDA,0,0,0
2veh,2s\22s,PCF,73.0018952682673,-18.9406368567329,79.1131327954962
2veh,2s\22s,PCF-I,4.6597636415439,2.38316752982503,23.7570017253631
2veh,2s\22s,PCF-IDA,-9.72503015506199,-15.8955425728022,35.8495482585228
2veh,2s\19s,PCF,73.6811707185274,-37.5894824508409,95.6063170176246
2veh,2s\19s,PCF-I,4.77479758112972,2.732126134721,43.1929809205577
2veh,2s\19s,PCF-IDA,-14.8280009141196,-21.9419650167375,17.3118752762651
2veh,2s\20s,PCF,73.3741657056998,-37.5658904235382,95.0521101720277
2veh,2s\20s,PCF-I,4.52330066735125,2.67947670089906,37.2967929792685
2veh,2s\20s,PCF-IDA,-12.3042040137357,-18.415502017167,22.1610712453398
2veh,1s\20s,PCF,5.02831746417602,-17.0420293756731,52.2804546860148
2veh,1s\20s,PCF-I,2.59681612313844,1.38315494989825,50.9033778027787
2veh,1s\20s,PCF-IDA,-1.00838787150084,-5.11835608400199,81.3923338123979
2veh,0.5s\20s,PCF,-9.2687109401101,-8.08714346309518,26.4150971332692
2veh,0.5s\20s,PCF-I,1.22741902196241,0.641879421295656,19.3481037411208
2veh,0.5s\20s,PCF-IDA,0.970634916264989,-0.566624290870753,25.4323008981901
2veh,2s\10s,PCF,92.8660156475544,-44.4198324622392,101.489982429909
2veh,2s\10s,PCF-I,3.74102367245864,1.16009790294654,28.2430607477011
2veh,2s\10s,PCF-IDA,-9.4278250271034,-19.0694550414251,103.642508901587
2veh,1.5s\10s,PCF,56.240213855178,-27.8209183776138,78.8902878315554
2veh,1.5s\10s,PCF-I,2.96892984313514,0.730896252923471,74.3030561607845
2veh,1.5s\10s,PCF-IDA,-4.85151377581526,-11.9257528978837,109.363486942807
2veh,1s\10s,PCF,13.3194942883601,-20.4469078768363,60.9801953925941
2veh,1s\10s,PCF-I,2.18601509613183,0.615171095503486,49.4348233421483
2veh,1s\10s,PCF-IDA,-1.13376604570931,-5.84837556680218,79.6868036251835
2veh,0.75s\10s,PCF,1.45202305291416,-14.095280235144,49.7275725641267
2veh,0.75s\10s,PCF-I,1.80455815930228,0.592499235713094,38.0884037020062
2veh,0.75s\10s,PCF-IDA,-1.56414350145878,-6.11018757508828,68.6299796849394
2veh,0.5s\10s,PCF,-3.72368982776327,-8.77213069133567,34.4799727916389
2veh,0.5s\10s,PCF-I,0.934133194944983,0.0200636252353505,24.0913190133955
2veh,0.5s\10s,PCF-IDA,1.25643862754843,-0.319763311000084,28.2561729346144
2veh,0.2s\10s,PCF,-2.16660702759246,-2.91905447183502,14.5986384071841
2veh,0.2s\10s,PCF-I,0.40092933134958,0.222922995637159,5.0255723248684
2veh,0.2s\10s,PCF-IDA,0.156015721412291,-0.682916751856297,18.6450592154955
2veh,0.1s\10s,PCF,-5.84864145216819,-4.3942196128613,13.0638661455013
2veh,0.1s\10s,PCF-I,0.0131557092227286,-0.261466190276075,2.54324598069015
2veh,0.1s\10s,PCF-IDA,0.276566925272554,0.0344676515071944,9.03924849823369
3veh,No Attack,PCF,0,0,0
3veh,No Attack,PCF-I,0,0,0
3veh,No Attack,PCF-IDA,0,0,0
3veh,2s\22s,PCF,74.776504167482,-16.2811696842497,74.7055048099331
3veh,2s\22s,PCF-I,4.36553715810633,1.55138834421899,40.1086250493742
3veh,2s\22s,PCF-IDA,-10.864496366478,-17.3537255731154,31.593064468621
3veh,2s\19s,PCF,76.2747652263066,-35.0888009648568,92.323018126634
3veh,2s\19s,PCF-I,4.58966648295537,2.10660455378532,53.2010107927316
3veh,2s\19s,PCF-IDA,-14.7650380924886,-21.9076290904855,15.8336562148971
3veh,2s\20s,PCF,75.4562952863548,-35.1821616426295,93.9405419827751
3veh,2s\20s,PCF-I,4.6009415553206,2.20212232575595,62.2315341589085
3veh,2s\20s,PCF-IDA,-12.9434522147201,-19.3743273688,21.4179803525268
3veh,1s\20s,PCF,9.82577411428325,-14.2031609428416,51.2034456242744
3veh,1s\20s,PCF-I,2.43691854762493,0.979686908831585,59.7362974110899
3veh,1s\20s,PCF-IDA,-0.405674743925285,-4.12111993386755,80.4982491034882
3veh,0.5s\20s,PCF,-6.52811539510551,-5.40048529278429,25.3348077902999
3veh,0.5s\20s,PCF-I,1.26800315691237,0.547981234703469,31.5048308742718
3veh,0.5s\20s,PCF-IDA,1.21923032668006,-0.256868812277366,26.5154232270056
3veh,2s\10s,PCF,97.2711566504769,-43.5918629755421,101.58103578884
3veh,2s\10s,PCF-I,3.27879787944144,0.359684324693971,30.8756856338168
