Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,CollisionRate_per_s
2veh,No Attack,PCF,0,0,0
2veh,No Attack,PCF-I,0,0,0
2veh,No Attack,PCF-IDA,0,0,0
2veh,2s\22s,PCF,60.3885482808605,-20.4884341852071,0.0111482720178372
2veh,2s\22s,PCF-I,5.00024286967464,2.79029407488207,0
2veh,2s\22s,PCF-IDA,4.56193655131559,38.1175353543236,0
2veh,2s\19s,PCF,60.3173272461181,-34.6312262339198,0.0334448160535117
2veh,2s\19s,PCF-I,4.79242013710343,2.78197358958012,0
2veh,2s\19s,PCF-IDA,4.4900625262139,39.3981748196506,0
2veh,2s\20s,PCF,62.539804332677,-34.9735672197524,0.0334448160535117
2veh,2s\20s,PCF-I,4.96114546549373,3.11914815057464,0
2veh,2s\20s,PCF-IDA,4.48679600940386,39.2215120898572,0
2veh,1s\20s,PCF,2.26860734530285,-15.7025063803031,0
2veh,1s\20s,PCF-I,2.96476836212665,1.77940918092717,0
2veh,1s\20s,PCF-IDA,2.51417494116457,37.7562253745104,0
2veh,0.5s\20s,PCF,-6.74378380605081,-5.81464830237044,0
2veh,0.5s\20s,PCF-I,1.40409438836241,0.8230869731431,0
2veh,0.5s\20s,PCF-IDA,0.939963795431688,-0.48440563611551,0
2veh,2s\10s,PCF,77.8222719309238,-43.3318788158665,0.0445930880713489
2veh,2s\10s,PCF-I,3.69423304796526,1.03921500354208,0
2veh,2s\10s,PCF-IDA,5.06158882553312,51.6209268665831,0
2veh,1.5s\10s,PCF,41.3003598066013,-27.1579908205377,0.0111482720178372
2veh,1.5s\10s,PCF-I,3.17443470697697,0.876568468116579,0
2veh,1.5s\10s,PCF-IDA,3.95989279364443,51.3430461769882,0
2veh,1s\10s,PCF,7.1974545085089,-18.1671472713301,0
2veh,1s\10s,PCF-I,2.74364823210795,1.24310140383183,0
2veh,1s\10s,PCF-IDA,3.12477797763986,51.1596167377511,0
2veh,0.75s\10s,PCF,-5.12872435002542,-13.0752131662614,0
2veh,0.75s\10s,PCF-I,2.13127702775942,1.02435191994757,0
2veh,0.75s\10s,PCF-IDA,2.76772694854666,51.0265288395076,0
2veh,0.5s\10s,PCF,-8.00188397731674,-7.97265519490752,0
2veh,0.5s\10s,PCF-I,1.35528520903406,0.391318987031487,0
2veh,0.5s\10s,PCF-IDA,1.33725953867386,-0.238354319275934,0
2veh,0.2s\10s,PCF,-5.80165422453991,-3.89158790408577,0
2veh,0.2s\10s,PCF-I,0.949111205168232,0.886340392166288,0
2veh,0.2s\10s,PCF-IDA,0.430686159587118,-0.372979833698518,0
2veh,0.1s\10s,PCF,-1.78669877070944,-1.25132006964646,0
2veh,0.1s\10s,PCF-I,0.273424020269471,0.144666995617298,0
2veh,0.1s\10s,PCF-IDA,0.317985130498066,-0.0505696165732676,0
3veh,No Attack,PCF,0,0,0
3veh,No Attack,PCF-I,0,0,0
3veh,No Attack,PCF-IDA,0,0,0
3veh,2s\22s,PCF,65.1271748855786,-21.6806235469186,0.0222965440356745
3veh,2s\22s,PCF-I,4.43240970813661,2.02984511583132,0
3veh,2s\22s,PCF-IDA,4.61332422127465,38.1264467252681,0
3veh,2s\19s,PCF,63.8705932077098,-35.7598870752317,0.0334448160535117
3veh,2s\19s,PCF-I,4.61668927175557,2.2848284556115,0
3veh,2s\19s,PCF-IDA,4.53154428023664,39.343035875923,0
3veh,2s\20s,PCF,61.8650715688426,-35.2822903247989,0.0334448160535117
3veh,2s\20s,PCF-I,4.99888311726623,3.11546798469044,0
3veh,2s\20s,PCF-IDA,4.52599129805175,39.2516399205759,0
3veh,1s\20s,PCF,5.0818435560429,-14.3150843492647,0
3veh,1s\20s,PCF-I,2.85940730749078,1.52282109277642,0
3veh,1s\20s,PCF-IDA,2.57359577459062,37.7619162988699,0
3veh,0.5s\20s,PCF,-8.82112327364548,-7.20434020371426,0
3veh,0.5s\20s,PCF-I,1.8229799658699,1.3136067498209,0
3veh,0.5s\20s,PCF-IDA,1.35688669252446,0.109193907734381,0
3veh,2s\10s,PCF,81.0496145315538,-42.5255101274034,0.0334448160535117
3veh,2s\10s,PCF-I,3.26856347963382,0.59906499577165,0
3veh,2s\10s,PCF-IDA,5.09461998798173,51.6327129231397,0
3veh,1.5s\10s,PCF,43.8826995379068,-27.0179310886443,0.0111482720178372
3veh,1.5s\10s,PCF-I,3.34558243252018,1.09742551666809,0
3veh,1.5s\10s,PCF-IDA,4.00759609229626,51.3964413341732,0
3veh,1s\10s,PCF,6.71060515151488,-17.5400370782513,0
3veh,1s\10s,PCF-I,2.71091412520131,1.11000208082216,0
3veh,1s\10s,PCF-IDA,3.14938943547165,51.1885783576547,0
3veh,0.75s\10s,PCF,-5.69676280346172,-12.3860076000224,0
