sim_time,nv0_source,direct_nv0_module,direct_nv0_x,direct_nv0_speed,direct_nv0_accel,controller_nv0_x,controller_nv0_speed,controller_nv0_accel,nv0_info_age,nv1_module,nv1_x,nv1_speed,nv1_accel,controller_ok,acc_cmd_nv1,actuation_ok,target_speed_nv1
0.1,direct,car[0],174,0,0,174,0,0,0,car[1],155,0,0,1,0.0874884,1,0.00874884
0.2,direct,car[0],174.674,7.52744,75.2744,174.674,7.52744,75.2744,0,car[1],155.141,6.54974,65.4974,1,-3,1,6.24974
0.3,direct,car[0],174.771,0.989887,-65.3755,174.771,0.989887,-65.3755,0,car[1],155.717,6.24963,-3.00108,1,-3,1,5.94963
0.4,direct,car[0],174.916,1.47543,4.85546,174.916,1.47543,4.85546,0,car[1],156.265,5.94953,-3.00103,1,1.85516,1,6.13505
0.5,direct,car[0],175.105,1.93597,4.60537,175.105,1.93597,4.60537,0,car[1],156.83,6.13494,1.8541,1,1.60453,1,6.29539
0.6,simu5g_packet,car[0],175.34,2.39453,4.58558,174.916,0,0,0.1,car[1],157.41,6.29528,1.60344,1,-2.5661,1,6.03867
0.7,simu5g_packet,car[0],175.621,2.85994,4.65409,175.105,1.93597,19.3597,0.1,car[1],157.966,6.03857,-2.56715,1,1.82059,1,6.22063
0.8,simu5g_packet,car[0],175.946,3.32168,4.61747,175.34,2.39453,4.58558,0.1,car[1],158.539,6.22052,1.81951,1,1.59173,1,6.37969
0.9,simu5g_packet,car[0],176.321,3.82046,4.98778,175.621,2.85994,4.65409,0.1,car[1],159.127,6.37958,1.59062,1,1.57536,1,6.53712
1,simu5g_packet,car[0],176.743,4.29837,4.7791,175.946,3.32168,4.61747,0.1,car[1],159.733,6.51357,1.33987,1,1.5642,1,6.66999
1.1,simu5g_packet,car[0],177.211,4.7806,4.82229,176.321,3.82046,4.98778,0.1,car[1],160.399,6.66987,1.56304,1,1.52787,1,6.82266
1.2,simu5g_packet,car[0],177.719,5.17673,3.96133,176.743,4.29837,4.7791,0.1,car[1],161.08,6.82254,1.52668,1,1.50387,1,6.97293
1.3,simu5g_packet,car[0],178.263,5.54556,3.68827,177.211,4.7806,4.82229,0.1,car[1],161.776,6.97281,1.50266,1,1.47973,1,7.12078
1.4,simu5g_packet,car[0],178.851,5.99494,4.49383,177.719,5.17673,3.96133,0.1,car[1],162.487,7.12066,1.47849,1,1.45599,1,7.26626
