sim_time,module,x,y,speed,acceleration
0.1,car[0],174,94,0,0
0.1,car[1],155,95,0,0
0.2,car[0],174.674,94.3355,7.52744,75.2744
0.2,car[1],155.141,95.6397,6.54974,65.4974
0.3,car[0],174.771,94.3549,0.989887,-65.3755
0.3,car[1],155.717,95.3967,6.24963,-3.00108
0.4,car[0],174.916,94.3838,1.47543,4.85546
0.4,car[1],156.265,95.1654,5.94953,-3.00103
0.5,car[0],175.105,94.4217,1.93597,4.60537
0.5,car[1],156.83,94.9269,6.13494,1.8541
0.6,car[0],175.34,94.4686,2.39453,4.58558
0.6,car[1],157.41,94.6821,6.29528,1.60344
0.7,car[0],175.621,94.5246,2.85994,4.65409
0.7,car[1],157.966,94.4473,6.03857,-2.56715
0.8,car[0],175.946,94.5897,3.32168,4.61747
0.8,car[1],158.539,94.2055,6.22052,1.81951
0.9,car[0],176.321,94.6646,3.82046,4.98778
0.9,car[1],159.127,93.9575,6.37958,1.59062
1,car[0],176.743,94.7488,4.29837,4.7791
1,car[1],159.733,93.7176,6.51357,1.33987
1.1,car[0],177.211,94.8424,4.7806,4.82229
1.1,car[1],160.399,93.6804,6.66987,1.56304
1.2,car[0],177.719,94.9438,5.17673,3.96133
1.2,car[1],161.08,93.6423,6.82254,1.52668
1.3,car[0],178.263,95.0525,5.54556,3.68827
1.3,car[1],161.776,93.6034,6.97281,1.50266
1.4,car[0],178.851,95.1699,5.99494,4.49383
1.4,car[1],162.487,93.5636,7.12066,1.47849
1.5,car[0],179.473,95.2942,6.34607,3.51125
1.5,car[1],163.213,93.523,7.26613,1.45473
1.6,car[0],180.142,95.428,6.82633,4.80261
1.6,car[1],163.952,93.4817,7.40927,1.43135
1.7,car[0],180.854,95.57,7.25127,4.24943
1.7,car[1],164.706,93.4395,7.5501,1.40835
1.8,car[0],181.609,95.721,7.70827,4.56999
1.8,car[1],165.474,93.3966,7.68867,1.38572
1.9,car[0],182.411,95.8812,8.17518,4.66904
1.9,car[1],166.255,93.3529,7.82502,1.36345
2,car[0],183.254,96.0496,8.59985,4.2468
2,car[1],167.05,93.3085,7.95917,1.34154
2.1,car[0],184.137,96.226,9.00444,4.04584
2.1,car[1],167.858,93.2633,8.09117,1.31998
2.2,car[0],185.06,96.4104,9.40908,4.04641
2.2,car[1],168.678,93.2174,8.22104,1.29876
2.3,car[0],186.031,96.6042,9.89701,4.87927
2.3,car[1],169.503,93.3024,8.28638,0.653337
2.4,car[0],187.013,96.8999,10.2584,3.61421
2.4,car[1],170.328,93.4673,8.41599,1.29609
2.5,car[0],187.998,97.3132,10.6839,4.25472
2.5,car[1],171.166,93.6346,8.54051,1.24525
2.6,car[0],189.025,97.744,11.1399,4.56039
2.6,car[1],172.015,93.8043,8.66317,1.22661
2.7,car[0],190.085,98.1884,11.4917,3.51804
2.7,car[1],172.876,93.9764,8.78386,1.20684
2.8,car[0],191.184,98.6491,11.9097,4.17914
2.8,car[1],173.749,94.1508,8.9026,1.18745
2.9,car[0],192.315,99.1234,12.2657,3.56086
2.9,car[1],174.634,94.3275,9.01944,1.16836
3,car[0],193.487,99.6151,12.7123,4.46549
3,car[1],175.53,94.5064,9.1344,1.14959
3.1,car[0],194.698,100.123,13.1347,4.22409
3.1,car[1],176.436,94.6876,9.24751,1.13111
3.2,car[0],195.942,100.645,13.4865,3.51792
3.2,car[1],177.354,94.8709,9.3588,1.11293
3.3,car[0],197.229,101.184,13.9558,4.69354
3.3,car[1],178.283,95.0564,9.46831,1.09505
3.4,car[0],198.548,101.738,14.3094,3.53586
3.4,car[1],179.222,95.244,9.57605,1.07745
3.5,car[0],199.914,102.31,14.8034,4.94002
3.5,car[1],180.171,95.4337,9.68207,1.06014
3.6,car[0],201.325,102.902,15.3005,4.97092
3.6,car[1],181.131,95.6254,9.78637,1.0431
3.7,car[0],202.779,103.512,15.7714,4.70889
3.7,car[1],182.101,95.8191,9.88901,1.02634
3.8,car[0],204.279,104.141,16.2697,4.98254
3.8,car[1],183.08,96.0148,9.98999,1.00984
3.9,car[0],205.665,105.073,16.6983,4.2866
3.9,car[1],184.07,96.2125,10.0894,0.993613
4,car[0],207.081,106.032,17.1048,4.06504
4,car[1],185.069,96.4121,10.1871,0.977637
4.1,car[0],208.531,107.013,17.4981,3.93296
4.1,car[1],186.077,96.6135,10.2836,0.964592
4.2,car[0],210.018,108.019,17.9599,4.61741
4.2,car[1],187.063,96.9209,10.3271,0.435326
4.3,car[0],211.538,109.047,18.3453,3.85406
4.3,car[1],188.024,97.3241,10.4237,0.965508
4.4,car[0],213.086,110.095,18.7003,3.55007
4.4,car[1],188.994,97.7308,10.517,0.933342
4.5,car[0],214.67,111.167,19.1201,4.19779
4.5,car[1],189.972,98.1411,10.6092,0.922012
4.6,car[0],216.29,112.263,19.5554,4.35362
4.6,car[1],190.959,98.555,10.7002,0.910074
4.7,car[0],217.94,113.379,19.9247,3.69246
4.7,car[1],191.954,98.9723,10.79,0.898319
4.8,car[0],219.587,114.494,19.8847,-0.39939
4.8,car[1],192.957,99.393,10.8787,0.886718
4.9,car[0],221.239,115.612,19.951,0.662721
4.9,car[1],193.969,99.8172,10.9662,0.875258
5,car[0],222.893,116.731,19.9751,0.240994
5,car[1],194.988,100.245,11.0526,0.863954
5.1,car[0],224.542,117.847,19.9069,-0.682006
5.1,car[1],196.015,100.675,11.1379,0.852792
5.2,car[0],226.051,119.137,19.8524,-0.545328
5.2,car[1],197.05,101.109,11.2221,0.841772
5.3,car[0],227.501,120.497,19.8818,0.294282
5.3,car[1],198.093,101.547,11.3052,0.830894
5.4,car[0],228.95,121.855,19.8605,-0.213036
5.4,car[1],199.143,101.987,11.3872,0.820158
5.5,car[0],230.4,123.214,19.8739,0.134478
5.5,car[1],200.2,102.431,11.4681,0.809565
5.6,car[0],231.849,124.572,19.8552,-0.187078
5.6,car[1],201.265,102.877,11.5481,0.799114
5.7,car[0],233.301,125.935,19.9167,0.614918
5.7,car[1],202.337,103.327,11.6269,0.788778
5.8,car[0],234.76,127.302,19.9952,0.785217
5.8,car[1],203.417,103.78,11.7048,0.778598
5.9,car[0],236.218,128.669,19.9782,-0.170862
5.9,car[1],204.475,104.268,11.6569,-0.479065
6,car[0],237.671,130.032,19.9289,-0.492968
6,car[1],205.44,104.921,11.6489,-0.0801845
6.1,car[0],239.123,131.393,19.8973,-0.315259
6.1,car[1],206.404,105.573,11.6363,-0.126049
6.2,car[0],240.538,132.785,19.853,-0.442934
6.2,car[1],207.366,106.225,11.6219,-0.143966
6.3,car[0],241.684,134.411,19.8907,0.376992
6.3,car[1],208.331,106.878,11.6538,0.319392
6.4,car[0],242.828,136.033,19.8512,-0.395006
6.4,car[1],209.299,107.532,11.6799,0.260651
6.5,car[0],243.978,137.662,19.9408,0.895085
