receive_time,seq,send_time,delay,x,y,speed,accel
0.515,0,0.5,0.015,174.916,94.3838,0,0
0.615,1,0.6,0.015,175.105,94.4217,1.93597,19.3597
0.715,2,0.7,0.015,175.34,94.4686,2.39453,4.58558
0.815,3,0.8,0.015,175.621,94.5246,2.85994,4.65409
0.915,4,0.9,0.015,175.946,94.5897,3.32168,4.61747
1.015,5,1,0.015,176.321,94.6646,3.82046,4.98778
1.115,6,1.1,0.015,176.743,94.7488,4.29837,4.7791
1.215,7,1.2,0.015,177.211,94.8424,4.7806,4.82229
1.315,8,1.3,0.015,177.719,94.9438,5.17673,3.96133
1.415,9,1.4,0.015,178.263,95.0525,5.54556,3.68827
1.515,10,1.5,0.015,178.851,95.1699,5.99494,4.49383
1.615,11,1.6,0.015,179.473,95.2942,6.34607,3.51125
1.715,12,1.7,0.015,180.142,95.428,6.82633,4.80261
1.815,13,1.8,0.015,180.854,95.57,7.25127,4.24943
1.915,14,1.9,0.015,181.609,95.721,7.70827,4.56999
2.015,15,2,0.015,182.411,95.8812,8.17518,4.66904
2.115,16,2.1,0.015,183.254,96.0496,8.59985,4.2468
2.215,17,2.2,0.015,184.137,96.226,9.00444,4.04584
2.315,18,2.3,0.015,185.06,96.4104,9.40908,4.04641
2.415,19,2.4,0.015,186.031,96.6042,9.89701,4.87927
2.515,20,2.5,0.015,187.013,96.8999,10.2584,3.61421
2.615,21,2.6,0.015,187.998,97.3132,10.6839,4.25472
2.715,22,2.7,0.015,189.025,97.744,11.1399,4.56039
2.815,23,2.8,0.015,190.085,98.1884,11.4917,3.51804
2.915,24,2.9,0.015,191.184,98.6491,11.9097,4.17914
3.015,25,3,0.015,192.315,99.1234,12.2657,3.56086
3.115,26,3.1,0.015,193.487,99.6151,12.7123,4.46549
3.215,27,3.2,0.015,194.698,100.123,13.1347,4.22409
3.315,28,3.3,0.015,195.942,100.645,13.4865,3.51792
3.415,29,3.4,0.015,197.229,101.184,13.9558,4.69354
3.515,30,3.5,0.015,198.548,101.738,14.3094,3.53586
3.615,31,3.6,0.015,199.914,102.31,14.8034,4.94002
3.715,32,3.7,0.015,201.325,102.902,15.3005,4.97092
3.815,33,3.8,0.015,202.779,103.512,15.7714,4.70889
3.915,34,3.9,0.015,204.279,104.141,16.2697,4.98254
4.015,35,4,0.015,205.665,105.073,16.6983,4.2866
4.115,36,4.1,0.015,207.081,106.032,17.1048,4.06504
4.215,37,4.2,0.015,208.531,107.013,17.4981,3.93296
4.315,38,4.3,0.015,210.018,108.019,17.9599,4.61741
4.415,39,4.4,0.015,211.538,109.047,18.3453,3.85406
4.515,40,4.5,0.015,213.086,110.095,18.7003,3.55007
4.615,41,4.6,0.015,214.67,111.167,19.1201,4.19779
4.715,42,4.7,0.015,216.29,112.263,19.5554,4.35362
4.815,43,4.8,0.015,217.94,113.379,19.9247,3.69246
4.915,44,4.9,0.015,219.587,114.494,19.8847,-0.39939
5.023,45,5,0.023,221.239,115.612,19.951,0.662721
5.422,46,5.1,0.322,222.893,116.731,19.9751,0.240994
5.783,47,5.2,0.583,224.542,117.847,19.9069,-0.682006
6.167,48,5.3,0.867,226.051,119.137,19.8524,-0.545328
6.528,49,5.4,1.128,227.501,120.497,19.8818,0.294282
6.89,50,5.5,1.39,228.95,121.855,19.8605,-0.213036
7.251,51,5.6,1.651,230.4,123.214,19.8739,0.134478
7.612,52,5.7,1.912,231.849,124.572,19.8552,-0.187078
7.973,53,5.8,2.173,233.301,125.935,19.9167,0.614918
8.335,54,5.9,2.435,234.76,127.302,19.9952,0.785217
8.719,55,6,2.719,236.218,128.669,19.9782,-0.170862
9.08,56,6.1,2.98,237.671,130.032,19.9289,-0.492968
9.443,57,6.2,3.243,239.123,131.393,19.8973,-0.315259
9.805,58,6.3,3.505,240.538,132.785,19.853,-0.442934
10.166,59,6.4,3.766,241.684,134.411,19.8907,0.376992
10.527,60,6.5,4.027,242.828,136.033,19.8512,-0.395006
10.888,61,6.6,4.288,243.978,137.662,19.9408,0.895085
11.25,62,6.7,4.55,245.126,139.29,19.9226,-0.181025
11.613,63,6.8,4.813,246.271,140.913,19.8615,-0.611318
11.975,64,6.9,5.075,247.42,142.543,19.9417,0.80152
12.337,65,7,5.337,248.493,144.218,19.8937,-0.480098
12.698,66,7.1,5.598,249.418,145.984,19.9325,0.388259
