receive_time,seq,send_time,delay
5.021,0,5,0.021
5.03,1,5.002,0.028
5.037,2,5.004,0.033
5.067,3,5.006,0.061
5.074,4,5.008,0.066
5.081,5,5.01,0.071
5.088,6,5.012,0.076
5.095,7,5.014,0.081
5.103,8,5.016,0.087
5.11,9,5.018,0.092
5.117,10,5.02,0.097
5.124,11,5.022,0.102
5.131,12,5.024,0.107
5.139,13,5.026,0.113
5.146,14,5.028,0.118
5.153,15,5.03,0.123
5.16,16,5.032,0.128
5.167,17,5.034,0.133
5.174,18,5.036,0.138
5.182,19,5.038,0.144
5.189,20,5.04,0.149
5.196,21,5.042,0.154
5.203,22,5.044,0.159
5.21,23,5.046,0.164
5.218,24,5.048,0.17
5.225,25,5.05,0.175
5.255,26,5.052,0.203
5.262,27,5.054,0.208
5.269,28,5.056,0.213
5.276,29,5.058,0.218
5.283,30,5.06,0.223
5.291,31,5.062,0.229
5.298,32,5.064,0.234
5.305,33,5.066,0.239
5.312,34,5.068,0.244
5.319,35,5.07,0.249
5.327,36,5.072,0.255
5.334,37,5.074,0.26
5.341,38,5.076,0.265
5.348,39,5.078,0.27
5.355,40,5.08,0.275
5.362,41,5.082,0.28
5.37,42,5.084,0.286
5.377,43,5.086,0.291
5.384,44,5.088,0.296
5.391,45,5.09,0.301
5.398,46,5.092,0.306
5.406,47,5.094,0.312
5.413,48,5.096,0.317
5.42,49,5.098,0.322
5.429,50,5.1,0.329
5.436,51,5.102,0.334
5.443,52,5.104,0.339
5.451,53,5.106,0.345
5.458,54,5.108,0.35
5.465,55,5.11,0.355
5.472,56,5.112,0.36
5.479,57,5.114,0.365
5.487,58,5.116,0.371
5.494,59,5.118,0.376
5.501,60,5.12,0.381
5.508,61,5.122,0.386
5.515,62,5.124,0.391
5.523,63,5.126,0.397
5.53,64,5.128,0.402
5.537,65,5.13,0.407
5.544,66,5.132,0.412
5.551,67,5.134,0.417
5.558,68,5.136,0.422
5.566,69,5.138,0.428
5.573,70,5.14,0.433
5.58,71,5.142,0.438
5.587,72,5.144,0.443
5.594,73,5.146,0.448
5.602,74,5.148,0.454
5.609,75,5.15,0.459
5.616,76,5.152,0.464
5.623,77,5.154,0.469
5.63,78,5.156,0.474
5.638,79,5.158,0.48
5.645,80,5.16,0.485
5.652,81,5.162,0.49
5.659,82,5.164,0.495
5.666,83,5.166,0.5
5.673,84,5.168,0.505
5.681,85,5.17,0.511
5.688,86,5.172,0.516
5.695,87,5.174,0.521
5.702,88,5.176,0.526
5.709,89,5.178,0.531
5.717,90,5.18,0.537
5.724,91,5.182,0.542
5.731,92,5.184,0.547
5.738,93,5.186,0.552
5.745,94,5.188,0.557
5.752,95,5.19,0.562
5.76,96,5.192,0.568
5.767,97,5.194,0.573
5.774,98,5.196,0.578
5.781,99,5.198,0.583
5.79,100,5.2,0.59
5.798,101,5.202,0.596
5.805,102,5.204,0.601
5.812,103,5.206,0.606
5.819,104,5.208,0.611
5.826,105,5.21,0.616
5.833,106,5.212,0.621
5.841,107,5.214,0.627
5.848,108,5.216,0.632
5.855,109,5.218,0.637
5.862,110,5.22,0.642
5.869,111,5.222,0.647
5.877,112,5.224,0.653
5.884,113,5.226,0.658
5.891,114,5.228,0.663
5.898,115,5.23,0.668
5.905,116,5.232,0.673
5.913,117,5.234,0.679
5.92,118,5.236,0.684
5.927,119,5.238,0.689
5.957,120,5.24,0.717
5.964,121,5.242,0.722
5.971,122,5.244,0.727
5.978,123,5.246,0.732
5.985,124,5.248,0.737
5.993,125,5.25,0.743
6,126,5.252,0.748
6.007,127,5.254,0.753
6.014,128,5.256,0.758
6.021,129,5.258,0.763
6.029,130,5.26,0.769
6.036,131,5.262,0.774
6.043,132,5.264,0.779
6.05,133,5.266,0.784
6.057,134,5.268,0.789
6.064,135,5.27,0.794
6.072,136,5.272,0.8
6.079,137,5.274,0.805
6.086,138,5.276,0.81
6.093,139,5.278,0.815
6.1,140,5.28,0.82
6.108,141,5.282,0.826
6.115,142,5.284,0.831
6.122,143,5.286,0.836
6.129,144,5.288,0.841
6.136,145,5.29,0.846
6.144,146,5.292,0.852
6.151,147,5.294,0.857
6.158,148,5.296,0.862
6.165,149,5.298,0.867
6.174,150,5.3,0.874
6.181,151,5.302,0.879
6.189,152,5.304,0.885
6.196,153,5.306,0.89
6.203,154,5.308,0.895
6.21,155,5.31,0.9
6.217,156,5.312,0.905
6.225,157,5.314,0.911
6.232,158,5.316,0.916
6.239,159,5.318,0.921
6.246,160,5.32,0.926
6.253,161,5.322,0.931
6.26,162,5.324,0.936
6.268,163,5.326,0.942
6.275,164,5.328,0.947
6.282,165,5.33,0.952
6.289,166,5.332,0.957
6.296,167,5.334,0.962
6.304,168,5.336,0.968
6.311,169,5.338,0.973
6.318,170,5.34,0.978
6.325,171,5.342,0.983
6.332,172,5.344,0.988
6.34,173,5.346,0.994
6.347,174,5.348,0.999
6.354,175,5.35,1.004
6.361,176,5.352,1.009
6.368,177,5.354,1.014
6.375,178,5.356,1.019
6.383,179,5.358,1.025
6.39,180,5.36,1.03
6.397,181,5.362,1.035
6.404,182,5.364,1.04
6.411,183,5.366,1.045
6.419,184,5.368,1.051
6.426,185,5.37,1.056
6.433,186,5.372,1.061
6.44,187,5.374,1.066
6.447,188,5.376,1.071
6.455,189,5.378,1.077
6.462,190,5.38,1.082
6.469,191,5.382,1.087
6.476,192,5.384,1.092
6.483,193,5.386,1.097
6.49,194,5.388,1.102
6.498,195,5.39,1.108
6.505,196,5.392,1.113
6.512,197,5.394,1.118
6.519,198,5.396,1.123
6.526,199,5.398,1.128
6.535,200,5.4,1.135
6.543,201,5.402,1.141
6.55,202,5.404,1.146
6.557,203,5.406,1.151
6.564,204,5.408,1.156
6.571,205,5.41,1.161
6.579,206,5.412,1.167
6.586,207,5.414,1.172
6.593,208,5.416,1.177
6.6,209,5.418,1.182
6.607,210,5.42,1.187
6.615,211,5.422,1.193
6.622,212,5.424,1.198
6.629,213,5.426,1.203
6.636,214,5.428,1.208
6.643,215,5.43,1.213
6.65,216,5.432,1.218
6.658,217,5.434,1.224
6.665,218,5.436,1.229
6.672,219,5.438,1.234
6.679,220,5.44,1.239
6.686,221,5.442,1.244
6.694,222,5.444,1.25
6.701,223,5.446,1.255
6.708,224,5.448,1.26
6.715,225,5.45,1.265
6.722,226,5.452,1.27
6.73,227,5.454,1.276
6.737,228,5.456,1.281
6.744,229,5.458,1.286
6.751,230,5.46,1.291
6.758,231,5.462,1.296
6.765,232,5.464,1.301
6.773,233,5.466,1.307
6.78,234,5.468,1.312
6.787,235,5.47,1.317
6.794,236,5.472,1.322
6.801,237,5.474,1.327
6.809,238,5.476,1.333
6.816,239,5.478,1.338
6.823,240,5.48,1.343
6.83,241,5.482,1.348
6.837,242,5.484,1.353
6.845,243,5.486,1.359
6.852,244,5.488,1.364
6.859,245,5.49,1.369
6.866,246,5.492,1.374
6.873,247,5.494,1.379
6.88,248,5.496,1.384
6.888,249,5.498,1.39
6.897,250,5.5,1.397
6.904,251,5.502,1.402
6.911,252,5.504,1.407
6.918,253,5.506,1.412
6.926,254,5.508,1.418
6.933,255,5.51,1.423
6.94,256,5.512,1.428
6.947,257,5.514,1.433
6.954,258,5.516,1.438
6.961,259,5.518,1.443
6.969,260,5.52,1.449
6.976,261,5.522,1.454
6.983,262,5.524,1.459
6.99,263,5.526,1.464
6.997,264,5.528,1.469
7.005,265,5.53,1.475
7.012,266,5.532,1.48
7.019,267,5.534,1.485
7.026,268,5.536,1.49
7.033,269,5.538,1.495
7.041,270,5.54,1.501
7.048,271,5.542,1.506
7.055,272,5.544,1.511
7.062,273,5.546,1.516
7.069,274,5.548,1.521
7.076,275,5.55,1.526
7.084,276,5.552,1.532
7.091,277,5.554,1.537
7.098,278,5.556,1.542
7.105,279,5.558,1.547
7.112,280,5.56,1.552
7.12,281,5.562,1.558
7.127,282,5.564,1.563
7.134,283,5.566,1.568
7.141,284,5.568,1.573
7.148,285,5.57,1.578
7.156,286,5.572,1.584
7.163,287,5.574,1.589
7.17,288,5.576,1.594
7.177,289,5.578,1.599
7.184,290,5.58,1.604
7.191,291,5.582,1.609
7.199,292,5.584,1.615
7.206,293,5.586,1.62
7.213,294,5.588,1.625
7.22,295,5.59,1.63
7.227,296,5.592,1.635
7.235,297,5.594,1.641
7.242,298,5.596,1.646
7.249,299,5.598,1.651
7.258,300,5.6,1.658
7.265,301,5.602,1.663
7.272,302,5.604,1.668
7.28,303,5.606,1.674
7.287,304,5.608,1.679
7.294,305,5.61,1.684
7.301,306,5.612,1.689
7.308,307,5.614,1.694
7.316,308,5.616,1.7
7.323,309,5.618,1.705
7.33,310,5.62,1.71
7.337,311,5.622,1.715
7.344,312,5.624,1.72
7.351,313,5.626,1.725
7.359,314,5.628,1.731
7.366,315,5.63,1.736
7.373,316,5.632,1.741
7.38,317,5.634,1.746
7.387,318,5.636,1.751
7.395,319,5.638,1.757
7.402,320,5.64,1.762
7.409,321,5.642,1.767
7.416,322,5.644,1.772
7.423,323,5.646,1.777
7.431,324,5.648,1.783
7.438,325,5.65,1.788
7.445,326,5.652,1.793
7.452,327,5.654,1.798
7.459,328,5.656,1.803
7.466,329,5.658,1.808
7.474,330,5.66,1.814
7.481,331,5.662,1.819
7.488,332,5.664,1.824
7.495,333,5.666,1.829
7.502,334,5.668,1.834
7.51,335,5.67,1.84
7.517,336,5.672,1.845
7.524,337,5.674,1.85
7.531,338,5.676,1.855
7.538,339,5.678,1.86
7.546,340,5.68,1.866
7.553,341,5.682,1.871
7.56,342,5.684,1.876
7.567,343,5.686,1.881
7.574,344,5.688,1.886
7.581,345,5.69,1.891
7.589,346,5.692,1.897
7.596,347,5.694,1.902
7.603,348,5.696,1.907
7.61,349,5.698,1.912
7.619,350,5.7,1.919
7.627,351,5.702,1.925
7.634,352,5.704,1.93
7.641,353,5.706,1.935
7.648,354,5.708,1.94
7.655,355,5.71,1.945
7.662,356,5.712,1.95
7.67,357,5.714,1.956
7.677,358,5.716,1.961
7.684,359,5.718,1.966
7.691,360,5.72,1.971
7.698,361,5.722,1.976
7.706,362,5.724,1.982
7.713,363,5.726,1.987
7.72,364,5.728,1.992
7.727,365,5.73,1.997
7.734,366,5.732,2.002
7.742,367,5.734,2.008
7.749,368,5.736,2.013
7.756,369,5.738,2.018
7.763,370,5.74,2.023
7.77,371,5.742,2.028
7.777,372,5.744,2.033
7.785,373,5.746,2.039
7.792,374,5.748,2.044
7.799,375,5.75,2.049
7.806,376,5.752,2.054
7.813,377,5.754,2.059
7.821,378,5.756,2.065
7.828,379,5.758,2.07
7.835,380,5.76,2.075
7.842,381,5.762,2.08
7.849,382,5.764,2.085
7.857,383,5.766,2.091
7.864,384,5.768,2.096
7.871,385,5.77,2.101
7.878,386,5.772,2.106
7.885,387,5.774,2.111
7.892,388,5.776,2.116
7.9,389,5.778,2.122
7.907,390,5.78,2.127
7.914,391,5.782,2.132
7.921,392,5.784,2.137
7.928,393,5.786,2.142
7.936,394,5.788,2.148
7.943,395,5.79,2.153
7.95,396,5.792,2.158
7.957,397,5.794,2.163
7.964,398,5.796,2.168
7.972,399,5.798,2.174
7.981,400,5.8,2.181
7.988,401,5.802,2.186
7.995,402,5.804,2.191
8.002,403,5.806,2.196
8.009,404,5.808,2.201
